timestamp,engine_value,nitrous_value
22.333848,-1.01,1.29
22.428017,0.38,1.30
22.51795,-0.29,1.28
22.612411,-0.61,1.27
22.702513,0.27,1.32
22.792563,0.09,1.32
22.886802,-0.86,1.25
22.976631,0.48,1.27
23.070905,-0.15,1.28
23.160902,-0.59,1.28
23.255159,0.35,1.29
23.345337,-0.30,1.28
23.435235,-0.30,1.23
23.529759,0.16,1.17
23.619736,-0.12,1.30
23.714123,-0.20,1.37
23.804141,0.09,1.39
23.898524,-0.17,1.40
23.98845,-0.10,1.38
24.078385,0.01,1.38
24.172639,-0.13,1.35
24.262829,-0.14,1.36
24.356902,-0.10,1.33
24.44685,-0.05,1.37
24.541577,-0.19,1.35
24.631529,-0.06,1.34
24.721487,-0.08,1.37
24.815835,-0.15,1.35
24.905891,0.07,1.36
24.999983,-0.09,1.36
25.090227,-0.12,1.36
25.184459,-0.04,1.33
25.274517,-0.17,1.35
25.364121,-0.03,1.37
25.458607,-0.04,1.36
25.548923,-0.10,1.34
25.642871,0.11,1.32
25.733289,0.00,1.31
25.827468,0.04,1.30
25.917708,0.16,1.34
26.007449,0.03,1.33
26.101907,0.12,1.36
26.191882,0.12,1.38
26.285962,0.11,1.33
26.375864,0.21,1.31
26.47025,0.15,1.31
26.560516,0.19,1.33
26.650478,0.24,1.31
26.744942,0.18,1.29
26.835107,0.22,1.34
26.92928,0.21,1.35
27.019364,0.18,1.34
27.113686,0.18,1.30
27.203599,0.18,1.32
27.293717,0.11,1.33
27.388029,0.12,1.35
27.477702,0.15,1.33
27.571936,0.14,1.35
27.662073,0.15,1.37
27.756372,0.19,1.37
27.846793,0.18,1.32
27.936303,0.16,1.34
28.031085,0.15,1.34
28.120987,0.22,1.34
28.215247,0.18,1.32
28.305165,0.15,1.31
28.399284,0.20,1.33
28.489539,0.20,1.30
28.579334,0.25,1.33
28.673657,0.22,1.38
28.764117,0.21,1.35
28.858202,0.29,1.35
28.948228,0.28,1.33
29.042418,0.30,1.31
29.132485,0.28,1.33
29.222472,0.24,1.32
29.31675,0.29,1.33
29.406971,0.30,1.33
29.501114,0.30,1.32
29.591143,0.31,1.32
29.68535,0.32,1.35
29.775811,0.31,1.39
29.865544,0.30,1.38
29.959903,0.29,1.36
30.049834,0.29,1.32
30.144091,0.33,1.31
30.23419,0.39,1.32
30.324094,0.40,1.31
30.418904,0.38,1.31
30.508701,0.39,1.33
30.60297,0.38,1.32
30.6928,0.40,1.33
30.78697,0.42,1.37
30.877212,0.41,1.36
30.967401,0.44,1.36
31.061778,0.46,1.35
31.151623,0.45,1.34
31.245927,0.41,1.37
31.336104,0.43,1.35
31.430811,0.43,1.32
31.520412,0.43,1.34
31.610772,0.43,1.33
31.704523,0.41,1.34
31.794604,0.42,1.39
31.888918,0.48,1.37
31.978847,0.49,1.34
32.073161,0.48,1.38
32.16326,0.48,1.38
32.253297,0.45,1.34
32.347618,0.46,1.34
32.437594,0.49,1.35
32.531838,0.46,1.38
32.621861,0.44,1.39
32.716518,0.48,1.38
32.80668,0.51,1.36
32.896387,0.46,1.37
32.990732,0.48,1.38
33.080955,0.50,1.35
33.174949,0.48,1.33
33.264965,0.50,1.36
33.359405,0.49,1.36
33.449502,0.49,1.38
33.53915,0.44,1.36
33.633762,0.46,1.35
33.72387,0.48,1.38
33.818323,0.46,1.38
33.908311,0.47,1.39
33.998025,0.52,1.34
34.092564,0.58,1.33
34.182667,0.54,1.34
34.276959,0.51,1.34
34.366779,0.53,1.35
34.461333,0.50,1.37
34.551396,0.50,1.34
34.641066,0.53,1.38
34.735609,0.53,1.38
34.825674,0.48,1.38
34.919956,0.50,1.38
35.009787,0.51,1.40
35.104227,0.46,1.37
35.19441,0.44,1.35
35.284322,0.43,1.37
35.378713,0.43,1.37
35.468567,0.45,1.37
35.563031,0.47,1.36
35.652723,0.44,1.34
35.747355,0.41,1.36
35.837385,0.43,1.36
35.927291,0.45,1.35
36.021345,0.41,1.37
36.111447,0.39,1.39
36.205992,0.45,1.35
36.296153,0.39,1.33
36.390415,0.36,1.33
36.480385,0.38,1.33
36.570497,0.37,1.35
36.664464,0.37,1.34
36.754581,0.41,1.33
36.848649,0.41,1.32
36.939032,0.36,1.33
37.03348,0.36,1.34
37.123547,0.40,1.32
37.213502,0.39,1.36
37.307672,0.36,1.39
37.397782,0.38,1.37
37.492177,0.37,1.31
37.582183,0.37,1.32
37.676052,0.41,1.34
37.766143,0.40,1.36
37.856141,0.42,1.34
37.950895,0.40,1.35
38.040793,0.39,1.33
38.134828,0.40,1.36
38.225251,0.40,1.38
38.31528,0.38,1.34
38.409624,0.35,1.31
38.499503,0.36,1.30
