timestamp,engine_value,nitrous_value
23.566305,-13.15,0.0
23.967759,-0.21,0.0
24.058268,0.19,1.62
24.148073,-0.01,1.63
24.238441,-0.07,1.62
24.328537,0.17,1.62
24.414223,-0.08,1.59
24.505015,0.03,1.61
24.594682,0.12,1.62
24.685383,-0.04,1.63
24.774713,0.10,1.61
24.865171,0.07,1.60
24.950503,-0.04,1.63
25.02018,-27.39,1.64
25.094545,0.13,1.66
25.189237,0.09,1.64
25.278867,0.07,1.63
25.373259,0.10,1.64
25.463351,-0.05,1.63
25.55744,0.01,1.61
25.647353,0.02,1.62
25.741715,-0.03,1.63
25.831779,0.06,1.63
25.925928,0.09,1.63
26.016033,0.04,1.62
26.110216,0.09,1.62
26.200404,-0.00,1.62
26.294433,-0.01,1.60
26.384813,0.02,1.62
26.474773,-0.02,1.60
26.56907,-0.02,1.62
26.658968,0.00,1.63
26.75334,0.01,1.61
26.843254,0.01,1.60
26.937332,0.01,1.62
27.027558,-0.04,1.62
27.122058,-0.04,1.60
27.211948,0.01,1.60
27.305877,0.04,1.59
27.395989,0.01,1.62
27.490545,0.02,1.65
27.580537,0.01,1.63
27.674851,-0.01,1.64
27.764949,0.00,1.62
27.858755,-0.02,1.60
27.94911,0.00,1.58
28.043078,0.04,1.60
28.133114,0.01,1.61
28.227635,0.00,1.61
28.317551,-0.03,1.60
28.411569,-0.04,1.61
28.501598,-0.02,1.62
28.596414,-0.03,1.62
28.686137,-0.02,1.62
28.780128,0.02,1.63
28.870548,-0.00,1.61
28.964466,0.02,1.61
29.054547,0.03,1.63
29.14467,0.02,1.62
29.238831,0.06,1.61
29.328874,0.03,1.63
29.423116,0.01,1.61
29.513282,0.07,1.63
29.607724,0.07,1.64
29.697635,0.01,1.60
29.792617,-0.01,1.59
29.882077,0.00,1.62
29.976338,-0.04,1.61
30.066472,-0.07,1.56
30.160428,0.01,1.38
30.250799,0.64,1.60
30.344802,10.78,1.68
30.43506,32.63,1.60
30.529548,48.73,1.47
30.619467,58.80,1.40
30.71346,72.63,1.36
30.803967,94.43,1.26
30.897671,123.46,1.16
30.987892,140.09,1.11
31.082057,142.49,1.02
31.172105,140.95,0.98
31.266164,144.27,0.95
31.356462,150.38,0.88
31.450703,153.61,0.86
31.540702,153.99,0.82
31.630683,154.51,0.76
31.724917,158.01,0.72
31.814891,162.09,0.63
31.909394,162.29,0.55
31.999284,162.15,0.51
32.093757,163.91,0.46
32.183682,167.60,0.39
32.277979,169.08,0.37
32.368004,167.19,0.37
32.462312,167.08,0.27
32.552508,167.97,0.21
32.646638,170.56,0.21
32.73681,176.03,0.21
32.831027,194.51,0.14
32.920837,193.82,0.10
33.015248,180.02,0.08
33.105211,160.73,0.09
33.19957,144.39,0.10
33.289786,135.16,0.09
33.384258,131.43,0.08
33.473882,125.38,0.08
33.568273,121.04,0.08
33.65815,120.57,0.06
33.752704,119.85,0.05
33.842575,112.79,0.07
33.936609,101.68,0.07
34.026925,93.44,-0.02
34.120896,85.84,-0.01
34.211261,58.21,0.03
34.301075,27.56,0.10
34.39559,18.08,0.07
34.485334,23.40,0.01
34.580207,22.95,0.03
34.669738,16.29,0.08
34.764109,14.93,0.06
34.853881,17.80,0.03
34.948349,14.67,0.03
35.038417,11.98,0.02
35.132721,13.00,0.01
35.222705,12.93,-0.00
35.316993,11.32,-0.02
35.406953,11.04,0.01
35.501406,11.31,0.00
35.591275,10.35,0.02
35.685727,9.94,0.05
35.775805,10.14,0.06
35.869897,9.77,0.05
35.96,9.48,0.04
36.054279,9.21,0.01
36.144391,8.94,0.03
36.238694,8.95,0.03
36.328995,8.80,0.04
36.42307,8.71,0.05
36.513009,8.71,0.04
36.607325,8.45,0.07
36.6974,8.30,0.03
36.787522,8.36,-0.03
36.881825,8.26,-0.03
36.971764,8.24,0.01
37.065968,8.18,0.03
37.156198,7.92,0.01
37.250493,7.84,0.02
37.340555,7.82,-0.00
37.435003,7.67,-0.02
37.524825,7.61,-0.01
37.619443,7.58,-0.05
37.709559,7.49,-0.03
37.803529,7.47,-0.01
37.893566,7.40,-0.04
37.987832,7.27,-0.07
38.077727,7.29,-0.04
38.173178,7.26,-0.01
38.261994,7.16,-0.01
38.357493,7.11,-0.02
38.446591,7.01,-0.04
38.541275,6.97,-0.04
38.631623,6.96,-0.02
38.725183,6.86,-0.02
38.814824,6.78,-0.03
38.909498,6.72,-0.03
38.99904,6.69,-0.02
39.093635,6.70,-0.06
39.183716,6.70,-0.06
39.277807,6.49,-0.04
39.36783,6.44,-0.05
39.458264,6.40,-0.05
39.551917,6.38,-0.06
39.642262,6.31,-0.03
39.736014,6.30,-0.05
39.82644,6.26,-0.03
39.897009,6.17,-22.16
39.948659,6.10,-0.02
40.011107,6.06,-0.03
40.104817,5.87,-0.05
40.195612,5.83,-0.01
40.290038,4.97,-0.03
40.379912,2.58,-0.08
40.474122,0.82,-0.03
40.564131,0.66,0.01
40.658111,0.65,0.00
40.747852,0.39,-0.01
40.84246,0.56,-0.02
40.932505,0.60,-0.05
41.026478,0.45,-0.04
41.116439,0.58,0.00
41.210794,0.58,0.02
41.301141,0.48,-0.00
41.395598,0.50,-0.03
41.485917,0.52,0.00
41.57996,0.54,0.02
41.669808,0.56,0.05
41.764064,0.48,0.07
41.858083,0.0,0.0
41.948709,0.57,0.03
42.039034,0.0,0.03
