timestamp,engine_value,nitrous_value
21.641434,0.05,1.43
21.731308,-0.05,1.46
21.825671,-0.27,1.46
21.91595,-0.31,1.46
22.010082,0.43,1.48
22.099402,-0.03,1.47
22.194005,-1.05,1.46
22.284829,0.91,1.47
22.739114,-12.32,1.47
23.221979,-0.02,1.42
23.311842,-0.16,1.44
23.402741,0.03,1.46
23.492596,-0.02,1.45
23.582797,-0.10,1.46
23.668672,0.03,1.46
23.758768,0.03,1.45
23.853014,-0.13,1.44
23.942964,0.05,1.45
24.037451,-0.01,1.47
24.126987,-0.09,1.46
24.221284,-0.04,1.44
24.315955,-0.07,1.45
24.405618,0.01,1.45
24.499682,-0.06,1.45
24.5902,0.01,1.43
24.684144,0.00,1.43
24.774224,0.00,1.44
24.868818,0.06,1.47
24.958516,-0.02,1.44
25.053352,-0.02,1.48
25.143295,-0.04,1.49
25.237727,-0.05,1.51
25.327536,-0.08,1.47
25.421943,-0.05,1.44
25.511943,0.02,1.45
25.60623,-0.02,1.46
25.696362,-0.03,1.48
25.790169,-0.03,1.47
25.879841,0.04,1.45
25.974781,0.01,1.46
26.064924,-0.06,1.47
26.159046,-0.00,1.47
26.248974,-0.03,1.45
26.343096,-0.03,1.46
26.432948,-0.04,1.46
26.527247,-0.05,1.46
26.617683,-0.02,1.49
26.711846,0.01,1.50
26.801562,0.02,1.47
26.895605,-0.02,1.48
26.985734,0.02,1.46
27.080246,-0.05,1.45
27.174692,-0.10,1.47
27.264832,-0.03,1.48
27.359172,-0.01,1.44
27.449104,-0.04,1.44
27.543469,-0.06,1.46
27.633497,-0.01,1.45
27.727448,-0.03,1.42
27.817483,-0.02,1.45
27.911824,-0.02,1.42
28.002029,-0.06,1.42
28.095889,-0.04,1.44
28.1866,-0.05,1.48
28.279996,-0.01,1.48
28.370512,-0.08,1.47
28.464259,-0.04,1.46
28.555185,0.04,1.46
28.649387,0.03,1.49
28.739294,0.04,1.45
28.83388,-0.08,1.44
28.923926,-0.09,1.44
29.018202,-0.05,1.44
29.10771,-0.03,1.42
29.201671,-0.04,1.41
29.292241,-0.03,1.42
29.386339,0.02,1.46
29.476642,0.02,1.48
29.570745,0.08,1.48
29.66085,-0.03,1.48
29.755638,-0.07,1.47
29.849447,0.02,1.44
29.939483,0.02,1.47
30.033637,-0.03,1.47
30.12326,-0.02,1.49
30.217305,0.01,1.46
30.308018,0.04,1.47
30.401901,0.03,1.44
30.491677,-0.02,1.43
30.586613,0.01,1.44
30.676631,0.01,1.49
30.770826,-0.02,1.48
30.860869,0.02,1.49
30.955125,0.04,1.49
31.045126,0.03,1.47
31.139303,0.03,1.45
31.229496,0.04,1.44
31.323818,-0.01,1.44
31.41345,-0.01,1.44
31.508373,0.04,1.45
31.598188,0.02,1.43
31.692161,0.05,1.46
31.782138,0.02,1.49
31.876696,-0.00,1.48
31.966724,0.01,1.47
32.06107,0.02,1.48
