timestamp,value
2026-02-21T23:59:46.695953,-0.02
2026-02-21T23:59:46.765681,0.04
2026-02-21T23:59:46.855773,0.02
2026-02-21T23:59:46.945907,-0.00
2026-02-21T23:59:47.035965,0.02
2026-02-21T23:59:47.126115,-0.07
2026-02-21T23:59:47.216236,2.15
2026-02-21T23:59:47.306334,8.50
2026-02-21T23:59:47.396407,14.02
2026-02-21T23:59:47.486580,17.55
2026-02-21T23:59:47.576710,19.70
2026-02-21T23:59:47.666792,20.09
2026-02-21T23:59:47.756896,21.32
2026-02-21T23:59:47.847033,21.36
2026-02-21T23:59:47.937124,20.18
2026-02-21T23:59:48.027235,19.94
2026-02-21T23:59:48.117355,19.40
2026-02-21T23:59:48.207510,18.64
2026-02-21T23:59:48.297560,18.67
2026-02-21T23:59:48.387571,18.28
2026-02-21T23:59:48.477800,17.81
2026-02-21T23:59:48.567908,17.95
2026-02-21T23:59:48.658024,17.37
2026-02-21T23:59:48.748100,16.83
2026-02-21T23:59:48.838152,17.06
2026-02-21T23:59:48.928352,16.73
2026-02-21T23:59:49.018468,16.56
2026-02-21T23:59:49.108506,16.74
2026-02-21T23:59:49.198577,16.29
2026-02-21T23:59:49.288687,16.07
2026-02-21T23:59:49.378813,16.32
2026-02-21T23:59:49.469009,16.01
2026-02-21T23:59:49.559085,15.88
2026-02-21T23:59:49.648945,16.21
2026-02-21T23:59:49.739025,15.75
2026-02-21T23:59:49.829131,15.47
2026-02-21T23:59:49.919233,15.70
2026-02-21T23:59:50.005584,15.48
2026-02-21T23:59:50.095770,15.33
2026-02-21T23:59:50.185828,15.41
2026-02-21T23:59:50.275901,15.12
2026-02-21T23:59:50.366033,15.01
2026-02-21T23:59:50.456144,15.37
2026-02-21T23:59:50.546276,15.22
2026-02-21T23:59:50.636291,15.05
2026-02-21T23:59:50.726435,15.21
2026-02-21T23:59:50.816598,15.09
2026-02-21T23:59:50.906617,15.07
2026-02-21T23:59:50.996665,15.14
2026-02-21T23:59:51.086854,14.84
2026-02-21T23:59:51.176987,14.52
2026-02-21T23:59:51.267038,14.43
2026-02-21T23:59:51.357133,14.16
2026-02-21T23:59:51.447317,13.91
2026-02-21T23:59:51.537339,13.97
2026-02-21T23:59:51.627576,13.67
2026-02-21T23:59:51.717662,13.44
2026-02-21T23:59:51.807821,13.52
2026-02-21T23:59:51.897806,13.20
2026-02-21T23:59:51.988033,13.22
2026-02-21T23:59:52.078097,13.63
2026-02-21T23:59:52.168286,13.54
2026-02-21T23:59:52.258296,13.45
2026-02-21T23:59:52.348456,13.78
2026-02-21T23:59:52.438589,13.05
2026-02-21T23:59:52.528668,11.77
2026-02-21T23:59:52.618702,11.55
2026-02-21T23:59:52.708927,11.39
2026-02-21T23:59:52.798973,10.85
2026-02-21T23:59:52.889176,10.76
2026-02-21T23:59:52.978989,10.83
2026-02-21T23:59:53.069073,10.58
2026-02-21T23:59:53.159159,10.71
2026-02-21T23:59:53.249279,10.91
2026-02-21T23:59:53.339378,10.64
2026-02-21T23:59:53.425684,10.64
2026-02-21T23:59:53.515814,10.70
2026-02-21T23:59:53.605847,10.49
2026-02-21T23:59:53.695989,10.79
2026-02-21T23:59:53.786142,10.98
2026-02-21T23:59:53.876174,10.51
2026-02-21T23:59:53.966271,10.31
2026-02-21T23:59:54.056416,10.27
2026-02-21T23:59:54.146605,9.89
2026-02-21T23:59:54.236680,9.88
2026-02-21T23:59:54.326783,9.90
2026-02-21T23:59:54.416892,9.49
2026-02-21T23:59:54.506939,9.39
2026-02-21T23:59:54.597019,9.47
2026-02-21T23:59:54.687226,9.17
2026-02-21T23:59:54.777328,9.01
2026-02-21T23:59:54.867464,9.06
2026-02-21T23:59:54.957544,8.95
2026-02-21T23:59:55.047603,8.95
2026-02-21T23:59:55.137736,9.01
2026-02-21T23:59:55.227917,8.70
2026-02-21T23:59:55.317992,8.58
