timestamp,value
2026-02-21T23:16:35.125035,0.05
2026-02-21T23:16:35.194236,0.04
2026-02-21T23:16:35.284303,0.00
2026-02-21T23:16:35.374586,0.02
2026-02-21T23:16:35.464778,0.09
2026-02-21T23:16:35.554962,-0.01
2026-02-21T23:16:35.645085,0.46
2026-02-21T23:16:35.735309,0.93
2026-02-21T23:16:35.825467,1.62
2026-02-21T23:16:35.915599,3.05
2026-02-21T23:16:36.005826,2.63
2026-02-21T23:16:36.096012,3.02
2026-02-21T23:16:36.186098,3.65
2026-02-21T23:16:36.276305,2.79
2026-02-21T23:16:36.366788,3.59
2026-02-21T23:16:36.456717,4.37
2026-02-21T23:16:36.546866,3.86
2026-02-21T23:16:36.637073,4.45
2026-02-21T23:16:36.726988,4.73
2026-02-21T23:16:36.817149,4.21
2026-02-21T23:16:36.903494,5.07
2026-02-21T23:16:36.993725,4.93
2026-02-21T23:16:37.083768,4.53
2026-02-21T23:16:37.173968,4.99
2026-02-21T23:16:37.264235,4.41
2026-02-21T23:16:37.354320,4.21
2026-02-21T23:16:37.444533,4.45
2026-02-21T23:16:37.534601,3.94
2026-02-21T23:16:37.624920,4.03
2026-02-21T23:16:37.714950,4.21
2026-02-21T23:16:37.805118,3.80
2026-02-21T23:16:37.895571,3.94
2026-02-21T23:16:37.985537,3.85
2026-02-21T23:16:38.075796,3.67
2026-02-21T23:16:38.165820,3.96
2026-02-21T23:16:38.256062,3.72
2026-02-21T23:16:38.346232,3.60
2026-02-21T23:16:38.436329,3.89
2026-02-21T23:16:38.526325,3.65
2026-02-21T23:16:38.612637,3.62
2026-02-21T23:16:38.702844,3.89
2026-02-21T23:16:38.792916,3.56
2026-02-21T23:16:38.883175,3.62
2026-02-21T23:16:38.973328,3.93
2026-02-21T23:16:39.063510,3.66
2026-02-21T23:16:39.153587,3.68
2026-02-21T23:16:39.243850,3.73
2026-02-21T23:16:39.333892,3.62
2026-02-21T23:16:39.424382,3.83
2026-02-21T23:16:39.514240,3.76
2026-02-21T23:16:39.604425,3.68
2026-02-21T23:16:39.694670,3.70
2026-02-21T23:16:39.784712,3.63
2026-02-21T23:16:39.874882,3.74
2026-02-21T23:16:39.965123,3.79
2026-02-21T23:16:40.055212,3.61
2026-02-21T23:16:40.145273,3.72
2026-02-21T23:16:40.235334,3.70
2026-02-21T23:16:40.321737,3.61
2026-02-21T23:16:40.411805,3.83
2026-02-21T23:16:40.502041,3.74
2026-02-21T23:16:40.592156,3.67
2026-02-21T23:16:40.682353,3.66
2026-02-21T23:16:40.772627,3.64
2026-02-21T23:16:40.862865,3.72
2026-02-21T23:16:40.952952,3.59
2026-02-21T23:16:41.042986,3.59
2026-02-21T23:16:41.133153,3.81
2026-02-21T23:16:41.223344,3.61
2026-02-21T23:16:41.313525,3.68
2026-02-21T23:16:41.403571,3.84
2026-02-21T23:16:41.493650,3.57
2026-02-21T23:16:41.583902,3.75
2026-02-21T23:16:41.674528,3.79
2026-02-21T23:16:41.764148,3.55
