timestamp,value
2026-02-22T00:59:40.235576,0.00
2026-02-22T00:59:40.309434,0.05
2026-02-22T00:59:40.399337,0.00
2026-02-22T00:59:40.489434,-0.03
2026-02-22T00:59:40.580395,-0.01
2026-02-22T00:59:40.670196,-0.01
2026-02-22T00:59:40.760079,1.44
2026-02-22T00:59:40.849644,5.17
2026-02-22T00:59:40.939910,8.47
2026-02-22T00:59:41.029760,10.51
2026-02-22T00:59:41.119807,12.02
2026-02-22T00:59:41.209859,12.77
2026-02-22T00:59:41.296103,12.96
2026-02-22T00:59:41.386254,12.80
2026-02-22T00:59:41.476376,12.47
2026-02-22T00:59:41.566449,12.07
2026-02-22T00:59:41.656557,11.38
2026-02-22T00:59:41.746638,10.68
2026-02-22T00:59:41.836665,10.12
2026-02-22T00:59:41.926657,9.42
2026-02-22T00:59:42.016815,8.80
2026-02-22T00:59:42.106919,8.11
2026-02-22T00:59:42.196888,7.25
2026-02-22T00:59:42.287049,6.65
2026-02-22T00:59:42.377218,6.18
2026-02-22T00:59:42.467205,5.79
2026-02-22T00:59:42.557203,5.72
2026-02-22T00:59:42.647223,5.64
2026-02-22T00:59:42.737387,5.45
2026-02-22T00:59:42.827477,5.13
2026-02-22T00:59:42.917563,5.05
2026-02-22T00:59:43.007615,4.94
2026-02-22T00:59:43.097687,4.79
2026-02-22T00:59:43.187775,4.73
2026-02-22T00:59:43.277802,4.87
2026-02-22T00:59:43.368017,5.09
2026-02-22T00:59:43.458083,5.14
2026-02-22T00:59:43.548165,5.10
2026-02-22T00:59:43.638270,5.33
2026-02-22T00:59:43.728359,5.31
2026-02-22T00:59:43.818400,5.36
2026-02-22T00:59:43.908594,5.42
2026-02-22T00:59:43.998523,5.31
2026-02-22T00:59:44.088505,5.31
2026-02-22T00:59:44.178647,5.46
2026-02-22T00:59:44.268760,5.41
2026-02-22T00:59:44.358841,5.40
2026-02-22T00:59:44.448982,5.45
2026-02-22T00:59:44.539139,5.36
2026-02-22T00:59:44.629090,5.29
2026-02-22T00:59:44.719144,5.27
2026-02-22T00:59:44.809349,5.42
2026-02-22T00:59:44.899337,5.47
2026-02-22T00:59:44.989367,5.52
2026-02-22T00:59:45.079433,5.67
2026-02-22T00:59:45.169556,5.57
2026-02-22T00:59:45.259561,5.58
2026-02-22T00:59:45.349797,5.68
2026-02-22T00:59:45.439896,5.52
2026-02-22T00:59:45.529888,5.51
2026-02-22T00:59:45.619908,5.45
2026-02-22T00:59:45.710024,5.27
2026-02-22T00:59:45.800079,5.48
2026-02-22T00:59:45.890203,5.40
2026-02-22T00:59:45.980167,5.25
2026-02-22T00:59:46.070390,5.26
2026-02-22T00:59:46.160540,5.11
2026-02-22T00:59:46.250505,5.20
2026-02-22T00:59:46.340608,5.20
2026-02-22T00:59:46.430592,5.10
2026-02-22T00:59:46.520712,5.21
2026-02-22T00:59:46.610954,5.00
2026-02-22T00:59:46.700928,4.89
2026-02-22T00:59:46.791015,4.96
2026-02-22T00:59:46.881398,4.84
