timestamp,value
2026-02-22T00:21:38.981815,-0.01
2026-02-22T00:21:39.051318,-0.03
2026-02-22T00:21:39.141286,-0.03
2026-02-22T00:21:39.231288,-0.02
2026-02-22T00:21:39.321159,-0.06
2026-02-22T00:21:39.411158,-0.05
2026-02-22T00:21:39.501217,2.02
2026-02-22T00:21:39.591166,7.25
2026-02-22T00:21:39.681191,12.47
2026-02-22T00:21:39.771170,15.34
2026-02-22T00:21:39.861157,16.22
2026-02-22T00:21:39.951092,16.74
2026-02-22T00:21:40.041073,16.93
2026-02-22T00:21:40.131489,15.79
2026-02-22T00:21:40.220937,14.99
2026-02-22T00:21:40.311019,14.15
2026-02-22T00:21:40.400984,12.88
2026-02-22T00:21:40.490937,12.06
2026-02-22T00:21:40.580942,11.36
2026-02-22T00:21:40.670981,10.22
2026-02-22T00:21:40.760900,9.52
2026-02-22T00:21:40.850907,8.67
2026-02-22T00:21:40.940779,7.86
2026-02-22T00:21:41.030847,7.38
2026-02-22T00:21:41.120864,6.66
2026-02-22T00:21:41.210828,6.02
2026-02-22T00:21:41.300833,5.87
2026-02-22T00:21:41.390726,5.60
2026-02-22T00:21:41.480711,5.47
2026-02-22T00:21:41.570639,5.42
2026-02-22T00:21:41.660704,5.15
2026-02-22T00:21:41.750776,5.16
2026-02-22T00:21:41.840710,5.10
2026-02-22T00:21:41.930742,5.06
2026-02-22T00:21:42.020636,5.24
2026-02-22T00:21:42.110439,5.27
2026-02-22T00:21:42.200358,5.06
2026-02-22T00:21:42.290615,5.10
2026-02-22T00:21:42.380311,5.68
2026-02-22T00:21:42.556336,4.58
